fecha,ccaa,perc_total
2021-03-30T22:00:00000Z,Andalucía,0.132
2021-03-31T22:00:00000Z,Andalucía,0.13699999999999998
2021-04-02T22:00:00000Z,Andalucía,0.139
2021-04-04T22:00:00000Z,Andalucía,0.141
2021-04-05T22:00:00000Z,Andalucía,0.146
2021-04-06T22:00:00000Z,Andalucía,0.155
2021-04-07T22:00:00000Z,Andalucía,0.165
2021-04-08T22:00:00000Z,Andalucía,0.17600000000000002
2021-04-11T22:00:00000Z,Andalucía,0.188
2021-04-12T22:00:00000Z,Andalucía,0.193
2021-04-13T22:00:00000Z,Andalucía,0.201
2021-04-14T22:00:00000Z,Andalucía,0.21
2021-04-15T22:00:00000Z,Andalucía,0.21899999999999997
2021-04-18T22:00:00000Z,Andalucía,0.228
2021-04-19T22:00:00000Z,Andalucía,0.228
2021-04-20T22:00:00000Z,Andalucía,0.23800000000000002
2021-04-21T22:00:00000Z,Andalucía,0.243
2021-04-22T22:00:00000Z,Andalucía,0.252
2021-04-25T22:00:00000Z,Andalucía,0.26
2021-04-26T22:00:00000Z,Andalucía,0.264
2021-04-27T22:00:00000Z,Andalucía,0.26899999999999996
2021-04-28T22:00:00000Z,Andalucía,0.27699999999999997
2021-04-29T22:00:00000Z,Andalucía,0.28
2021-05-02T22:00:00000Z,Andalucía,0.29100000000000004
2021-05-03T22:00:00000Z,Andalucía,0.295
2021-05-04T22:00:00000Z,Andalucía,0.301
2021-05-05T22:00:00000Z,Andalucía,0.309
2021-05-06T22:00:00000Z,Andalucía,0.317
2021-05-09T22:00:00000Z,Andalucía,0.326
2021-05-10T22:00:00000Z,Andalucía,0.332
2021-05-11T22:00:00000Z,Andalucía,0.34
2021-05-12T22:00:00000Z,Andalucía,0.34600000000000003
2021-05-13T22:00:00000Z,Andalucía,0.353
2021-05-16T22:00:00000Z,Andalucía,0.365
2021-05-17T22:00:00000Z,Andalucía,0.371
2021-05-18T22:00:00000Z,Andalucía,0.379
2021-05-19T22:00:00000Z,Andalucía,0.38799999999999996
2021-05-20T22:00:00000Z,Andalucía,0.397
2021-05-23T22:00:00000Z,Andalucía,0.406
2021-05-24T22:00:00000Z,Andalucía,0.41100000000000003
2021-05-25T22:00:00000Z,Andalucía,0.418
2021-05-26T22:00:00000Z,Andalucía,0.42700000000000005
2021-05-27T22:00:00000Z,Andalucía,0.434
2021-05-30T22:00:00000Z,Andalucía,0.442
2021-05-31T22:00:00000Z,Andalucía,0.447
2021-06-01T22:00:00000Z,Andalucía,0.455
2021-06-02T22:00:00000Z,Andalucía,0.46299999999999997
2021-03-30T22:00:00000Z,Aragón,0.142
2021-03-31T22:00:00000Z,Aragón,0.146
2021-04-02T22:00:00000Z,Aragón,0.149
2021-04-04T22:00:00000Z,Aragón,0.149
2021-04-05T22:00:00000Z,Aragón,0.153
2021-04-06T22:00:00000Z,Aragón,0.158
2021-04-07T22:00:00000Z,Aragón,0.168
2021-04-08T22:00:00000Z,Aragón,0.17800000000000002
2021-04-11T22:00:00000Z,Aragón,0.18600000000000003
2021-04-12T22:00:00000Z,Aragón,0.193
2021-04-13T22:00:00000Z,Aragón,0.20199999999999999
2021-04-14T22:00:00000Z,Aragón,0.215
2021-04-15T22:00:00000Z,Aragón,0.23600000000000002
2021-04-18T22:00:00000Z,Aragón,0.247
2021-04-19T22:00:00000Z,Aragón,0.254
2021-04-20T22:00:00000Z,Aragón,0.263
2021-04-21T22:00:00000Z,Aragón,0.27899999999999997
2021-04-22T22:00:00000Z,Aragón,0.294
2021-04-25T22:00:00000Z,Aragón,0.298
2021-04-26T22:00:00000Z,Aragón,0.303
2021-04-27T22:00:00000Z,Aragón,0.31
2021-04-28T22:00:00000Z,Aragón,0.322
2021-04-29T22:00:00000Z,Aragón,0.33299999999999996
2021-05-02T22:00:00000Z,Aragón,0.34299999999999997
2021-05-03T22:00:00000Z,Aragón,0.34700000000000003
2021-05-04T22:00:00000Z,Aragón,0.354
2021-05-05T22:00:00000Z,Aragón,0.361
2021-05-06T22:00:00000Z,Aragón,0.369
2021-05-09T22:00:00000Z,Aragón,0.377
2021-05-10T22:00:00000Z,Aragón,0.38299999999999995
2021-05-11T22:00:00000Z,Aragón,0.387
2021-05-12T22:00:00000Z,Aragón,0.396
2021-05-13T22:00:00000Z,Aragón,0.40399999999999997
2021-05-16T22:00:00000Z,Aragón,0.41200000000000003
2021-05-17T22:00:00000Z,Aragón,0.415
2021-05-18T22:00:00000Z,Aragón,0.42
2021-05-19T22:00:00000Z,Aragón,0.429
2021-05-20T22:00:00000Z,Aragón,0.436
2021-05-23T22:00:00000Z,Aragón,0.441
2021-05-24T22:00:00000Z,Aragón,0.442
2021-05-25T22:00:00000Z,Aragón,0.449
2021-05-26T22:00:00000Z,Aragón,0.461
2021-05-27T22:00:00000Z,Aragón,0.474
2021-05-30T22:00:00000Z,Aragón,0.48100000000000004
2021-05-31T22:00:00000Z,Aragón,0.483
2021-06-01T22:00:00000Z,Aragón,0.488
2021-06-02T22:00:00000Z,Aragón,0.494
2021-03-30T22:00:00000Z,Asturias,0.154
2021-03-31T22:00:00000Z,Asturias,0.161
2021-04-02T22:00:00000Z,Asturias,0.16699999999999998
2021-04-04T22:00:00000Z,Asturias,0.175
2021-04-05T22:00:00000Z,Asturias,0.18
2021-04-06T22:00:00000Z,Asturias,0.188
2021-04-07T22:00:00000Z,Asturias,0.19699999999999998
2021-04-08T22:00:00000Z,Asturias,0.20800000000000002
2021-04-11T22:00:00000Z,Asturias,0.22699999999999998
2021-04-12T22:00:00000Z,Asturias,0.23399999999999999
2021-04-13T22:00:00000Z,Asturias,0.24
2021-04-14T22:00:00000Z,Asturias,0.25
2021-04-15T22:00:00000Z,Asturias,0.259
2021-04-18T22:00:00000Z,Asturias,0.28600000000000003
2021-04-19T22:00:00000Z,Asturias,0.294
2021-04-20T22:00:00000Z,Asturias,0.303
2021-04-21T22:00:00000Z,Asturias,0.311
2021-04-22T22:00:00000Z,Asturias,0.319
2021-04-25T22:00:00000Z,Asturias,0.336
2021-04-26T22:00:00000Z,Asturias,0.342
2021-04-27T22:00:00000Z,Asturias,0.349
2021-04-28T22:00:00000Z,Asturias,0.354
2021-04-29T22:00:00000Z,Asturias,0.36
2021-05-02T22:00:00000Z,Asturias,0.373
2021-05-03T22:00:00000Z,Asturias,0.377
2021-05-04T22:00:00000Z,Asturias,0.386
2021-05-05T22:00:00000Z,Asturias,0.396
2021-05-06T22:00:00000Z,Asturias,0.406
2021-05-09T22:00:00000Z,Asturias,0.428
2021-05-10T22:00:00000Z,Asturias,0.436
2021-05-11T22:00:00000Z,Asturias,0.442
2021-05-12T22:00:00000Z,Asturias,0.45
2021-05-13T22:00:00000Z,Asturias,0.45799999999999996
2021-05-16T22:00:00000Z,Asturias,0.473
2021-05-17T22:00:00000Z,Asturias,0.48
2021-05-18T22:00:00000Z,Asturias,0.488
2021-05-19T22:00:00000Z,Asturias,0.49200000000000005
2021-05-20T22:00:00000Z,Asturias,0.496
2021-05-23T22:00:00000Z,Asturias,0.505
2021-05-24T22:00:00000Z,Asturias,0.51
2021-05-25T22:00:00000Z,Asturias,0.516
2021-05-26T22:00:00000Z,Asturias,0.523
2021-05-27T22:00:00000Z,Asturias,0.532
2021-05-30T22:00:00000Z,Asturias,0.5429999999999999
2021-05-31T22:00:00000Z,Asturias,0.5479999999999999
2021-06-01T22:00:00000Z,Asturias,0.555
2021-06-02T22:00:00000Z,Asturias,0.563
2021-03-30T22:00:00000Z,Baleares,0.11699999999999999
2021-03-31T22:00:00000Z,Baleares,0.11699999999999999
2021-04-02T22:00:00000Z,Baleares,0.126
2021-04-04T22:00:00000Z,Baleares,0.128
2021-04-05T22:00:00000Z,Baleares,0.129
2021-04-06T22:00:00000Z,Baleares,0.132
2021-04-07T22:00:00000Z,Baleares,0.139
2021-04-08T22:00:00000Z,Baleares,0.147
2021-04-11T22:00:00000Z,Baleares,0.16399999999999998
2021-04-12T22:00:00000Z,Baleares,0.172
2021-04-13T22:00:00000Z,Baleares,0.17800000000000002
2021-04-14T22:00:00000Z,Baleares,0.183
2021-04-15T22:00:00000Z,Baleares,0.18899999999999997
2021-04-18T22:00:00000Z,Baleares,0.19899999999999998
2021-04-19T22:00:00000Z,Baleares,0.20199999999999999
2021-04-20T22:00:00000Z,Baleares,0.205
2021-04-21T22:00:00000Z,Baleares,0.21100000000000002
2021-04-22T22:00:00000Z,Baleares,0.21600000000000003
2021-04-25T22:00:00000Z,Baleares,0.22899999999999998
2021-04-26T22:00:00000Z,Baleares,0.231
2021-04-27T22:00:00000Z,Baleares,0.233
2021-04-28T22:00:00000Z,Baleares,0.23600000000000002
2021-04-29T22:00:00000Z,Baleares,0.24
2021-05-02T22:00:00000Z,Baleares,0.24600000000000002
2021-05-03T22:00:00000Z,Baleares,0.248
2021-05-04T22:00:00000Z,Baleares,0.252
2021-05-05T22:00:00000Z,Baleares,0.263
2021-05-06T22:00:00000Z,Baleares,0.273
2021-05-09T22:00:00000Z,Baleares,0.29
2021-05-10T22:00:00000Z,Baleares,0.293
2021-05-11T22:00:00000Z,Baleares,0.29600000000000004
2021-05-12T22:00:00000Z,Baleares,0.301
2021-05-13T22:00:00000Z,Baleares,0.306
2021-05-16T22:00:00000Z,Baleares,0.319
2021-05-17T22:00:00000Z,Baleares,0.324
2021-05-18T22:00:00000Z,Baleares,0.32899999999999996
2021-05-19T22:00:00000Z,Baleares,0.335
2021-05-20T22:00:00000Z,Baleares,0.342
2021-05-23T22:00:00000Z,Baleares,0.361
2021-05-24T22:00:00000Z,Baleares,0.36700000000000005
2021-05-25T22:00:00000Z,Baleares,0.37200000000000005
2021-05-26T22:00:00000Z,Baleares,0.377
2021-05-27T22:00:00000Z,Baleares,0.381
2021-05-30T22:00:00000Z,Baleares,0.385
2021-05-31T22:00:00000Z,Baleares,0.39
2021-06-01T22:00:00000Z,Baleares,0.39399999999999996
2021-06-02T22:00:00000Z,Baleares,0.4
2021-03-30T22:00:00000Z,Canarias,0.107
2021-03-31T22:00:00000Z,Canarias,0.11
2021-04-02T22:00:00000Z,Canarias,0.11199999999999999
2021-04-04T22:00:00000Z,Canarias,0.115
2021-04-05T22:00:00000Z,Canarias,0.11699999999999999
2021-04-06T22:00:00000Z,Canarias,0.122
2021-04-07T22:00:00000Z,Canarias,0.13
2021-04-08T22:00:00000Z,Canarias,0.136
2021-04-11T22:00:00000Z,Canarias,0.146
2021-04-12T22:00:00000Z,Canarias,0.153
2021-04-13T22:00:00000Z,Canarias,0.162
2021-04-14T22:00:00000Z,Canarias,0.17
2021-04-15T22:00:00000Z,Canarias,0.17800000000000002
2021-04-18T22:00:00000Z,Canarias,0.192
2021-04-19T22:00:00000Z,Canarias,0.19699999999999998
2021-04-20T22:00:00000Z,Canarias,0.203
2021-04-21T22:00:00000Z,Canarias,0.209
2021-04-22T22:00:00000Z,Canarias,0.215
2021-04-25T22:00:00000Z,Canarias,0.226
2021-04-26T22:00:00000Z,Canarias,0.23
2021-04-27T22:00:00000Z,Canarias,0.23399999999999999
2021-04-28T22:00:00000Z,Canarias,0.237
2021-04-29T22:00:00000Z,Canarias,0.237
2021-05-02T22:00:00000Z,Canarias,0.245
2021-05-03T22:00:00000Z,Canarias,0.248
2021-05-04T22:00:00000Z,Canarias,0.25
2021-05-05T22:00:00000Z,Canarias,0.254
2021-05-06T22:00:00000Z,Canarias,0.259
2021-05-09T22:00:00000Z,Canarias,0.267
2021-05-10T22:00:00000Z,Canarias,0.272
2021-05-11T22:00:00000Z,Canarias,0.27699999999999997
2021-05-12T22:00:00000Z,Canarias,0.28300000000000003
2021-05-13T22:00:00000Z,Canarias,0.29
2021-05-16T22:00:00000Z,Canarias,0.305
2021-05-17T22:00:00000Z,Canarias,0.311
2021-05-18T22:00:00000Z,Canarias,0.316
2021-05-19T22:00:00000Z,Canarias,0.32
2021-05-20T22:00:00000Z,Canarias,0.32899999999999996
2021-05-23T22:00:00000Z,Canarias,0.341
2021-05-24T22:00:00000Z,Canarias,0.361
2021-05-25T22:00:00000Z,Canarias,0.371
2021-05-26T22:00:00000Z,Canarias,0.38
2021-05-27T22:00:00000Z,Canarias,0.38799999999999996
2021-05-30T22:00:00000Z,Canarias,0.4
2021-05-31T22:00:00000Z,Canarias,0.40700000000000003
2021-06-01T22:00:00000Z,Canarias,0.42
2021-06-02T22:00:00000Z,Canarias,0.428
2021-03-30T22:00:00000Z,Cantabria,0.14
2021-03-31T22:00:00000Z,Cantabria,0.14
2021-04-02T22:00:00000Z,Cantabria,0.151
2021-04-04T22:00:00000Z,Cantabria,0.151
2021-04-05T22:00:00000Z,Cantabria,0.154
2021-04-06T22:00:00000Z,Cantabria,0.16399999999999998
2021-04-07T22:00:00000Z,Cantabria,0.16699999999999998
2021-04-08T22:00:00000Z,Cantabria,0.17600000000000002
2021-04-11T22:00:00000Z,Cantabria,0.191
2021-04-12T22:00:00000Z,Cantabria,0.19399999999999998
2021-04-13T22:00:00000Z,Cantabria,0.203
2021-04-14T22:00:00000Z,Cantabria,0.212
2021-04-15T22:00:00000Z,Cantabria,0.222
2021-04-18T22:00:00000Z,Cantabria,0.235
2021-04-19T22:00:00000Z,Cantabria,0.24
2021-04-20T22:00:00000Z,Cantabria,0.247
2021-04-21T22:00:00000Z,Cantabria,0.254
2021-04-22T22:00:00000Z,Cantabria,0.265
2021-04-25T22:00:00000Z,Cantabria,0.281
2021-04-26T22:00:00000Z,Cantabria,0.289
2021-04-27T22:00:00000Z,Cantabria,0.29600000000000004
2021-04-28T22:00:00000Z,Cantabria,0.308
2021-04-29T22:00:00000Z,Cantabria,0.312
2021-05-02T22:00:00000Z,Cantabria,0.318
2021-05-03T22:00:00000Z,Cantabria,0.325
2021-05-04T22:00:00000Z,Cantabria,0.33399999999999996
2021-05-05T22:00:00000Z,Cantabria,0.34299999999999997
2021-05-06T22:00:00000Z,Cantabria,0.35
2021-05-09T22:00:00000Z,Cantabria,0.363
2021-05-10T22:00:00000Z,Cantabria,0.371
2021-05-11T22:00:00000Z,Cantabria,0.382
2021-05-12T22:00:00000Z,Cantabria,0.392
2021-05-13T22:00:00000Z,Cantabria,0.39899999999999997
2021-05-16T22:00:00000Z,Cantabria,0.40700000000000003
2021-05-17T22:00:00000Z,Cantabria,0.41100000000000003
2021-05-18T22:00:00000Z,Cantabria,0.42
2021-05-19T22:00:00000Z,Cantabria,0.424
2021-05-20T22:00:00000Z,Cantabria,0.43200000000000005
2021-05-23T22:00:00000Z,Cantabria,0.441
2021-05-24T22:00:00000Z,Cantabria,0.444
2021-05-25T22:00:00000Z,Cantabria,0.45
2021-05-26T22:00:00000Z,Cantabria,0.45899999999999996
2021-05-27T22:00:00000Z,Cantabria,0.465
2021-05-30T22:00:00000Z,Cantabria,0.479
2021-05-31T22:00:00000Z,Cantabria,0.484
2021-06-01T22:00:00000Z,Cantabria,0.49
2021-06-02T22:00:00000Z,Cantabria,0.49700000000000005
2021-03-30T22:00:00000Z,Castilla y Leon,0.161
2021-03-31T22:00:00000Z,Castilla y Leon,0.166
2021-04-02T22:00:00000Z,Castilla y Leon,0.16899999999999998
2021-04-04T22:00:00000Z,Castilla y Leon,0.174
2021-04-05T22:00:00000Z,Castilla y Leon,0.18
2021-04-06T22:00:00000Z,Castilla y Leon,0.18600000000000003
2021-04-07T22:00:00000Z,Castilla y Leon,0.193
2021-04-08T22:00:00000Z,Castilla y Leon,0.204
2021-04-11T22:00:00000Z,Castilla y Leon,0.221
2021-04-12T22:00:00000Z,Castilla y Leon,0.22699999999999998
2021-04-13T22:00:00000Z,Castilla y Leon,0.235
2021-04-14T22:00:00000Z,Castilla y Leon,0.245
2021-04-15T22:00:00000Z,Castilla y Leon,0.258
2021-04-18T22:00:00000Z,Castilla y Leon,0.27699999999999997
2021-04-19T22:00:00000Z,Castilla y Leon,0.285
2021-04-20T22:00:00000Z,Castilla y Leon,0.294
2021-04-21T22:00:00000Z,Castilla y Leon,0.306
2021-04-22T22:00:00000Z,Castilla y Leon,0.306
2021-04-25T22:00:00000Z,Castilla y Leon,0.325
2021-04-26T22:00:00000Z,Castilla y Leon,0.332
2021-04-27T22:00:00000Z,Castilla y Leon,0.33899999999999997
2021-04-28T22:00:00000Z,Castilla y Leon,0.348
2021-04-29T22:00:00000Z,Castilla y Leon,0.35600000000000004
2021-05-02T22:00:00000Z,Castilla y Leon,0.371
2021-05-03T22:00:00000Z,Castilla y Leon,0.376
2021-05-04T22:00:00000Z,Castilla y Leon,0.38299999999999995
2021-05-05T22:00:00000Z,Castilla y Leon,0.39
2021-05-06T22:00:00000Z,Castilla y Leon,0.39899999999999997
2021-05-09T22:00:00000Z,Castilla y Leon,0.413
2021-05-10T22:00:00000Z,Castilla y Leon,0.419
2021-05-11T22:00:00000Z,Castilla y Leon,0.425
2021-05-12T22:00:00000Z,Castilla y Leon,0.425
2021-05-13T22:00:00000Z,Castilla y Leon,0.43200000000000005
2021-05-16T22:00:00000Z,Castilla y Leon,0.44
2021-05-17T22:00:00000Z,Castilla y Leon,0.444
2021-05-18T22:00:00000Z,Castilla y Leon,0.447
2021-05-19T22:00:00000Z,Castilla y Leon,0.45299999999999996
2021-05-20T22:00:00000Z,Castilla y Leon,0.45899999999999996
2021-05-23T22:00:00000Z,Castilla y Leon,0.46399999999999997
2021-05-24T22:00:00000Z,Castilla y Leon,0.465
2021-05-25T22:00:00000Z,Castilla y Leon,0.47100000000000003
2021-05-26T22:00:00000Z,Castilla y Leon,0.48
2021-05-27T22:00:00000Z,Castilla y Leon,0.48700000000000004
2021-05-30T22:00:00000Z,Castilla y Leon,0.49200000000000005
2021-05-31T22:00:00000Z,Castilla y Leon,0.496
2021-06-01T22:00:00000Z,Castilla y Leon,0.505
2021-06-02T22:00:00000Z,Castilla y Leon,0.515
2021-03-30T22:00:00000Z,Castilla - La Mancha,0.136
2021-03-31T22:00:00000Z,Castilla - La Mancha,0.136
2021-04-02T22:00:00000Z,Castilla - La Mancha,0.146
2021-04-04T22:00:00000Z,Castilla - La Mancha,0.152
2021-04-05T22:00:00000Z,Castilla - La Mancha,0.159
2021-04-06T22:00:00000Z,Castilla - La Mancha,0.166
2021-04-07T22:00:00000Z,Castilla - La Mancha,0.174
2021-04-08T22:00:00000Z,Castilla - La Mancha,0.182
2021-04-11T22:00:00000Z,Castilla - La Mancha,0.193
2021-04-12T22:00:00000Z,Castilla - La Mancha,0.195
2021-04-13T22:00:00000Z,Castilla - La Mancha,0.2
2021-04-14T22:00:00000Z,Castilla - La Mancha,0.209
2021-04-15T22:00:00000Z,Castilla - La Mancha,0.22
2021-04-18T22:00:00000Z,Castilla - La Mancha,0.23
2021-04-19T22:00:00000Z,Castilla - La Mancha,0.23199999999999998
2021-04-20T22:00:00000Z,Castilla - La Mancha,0.237
2021-04-21T22:00:00000Z,Castilla - La Mancha,0.247
2021-04-22T22:00:00000Z,Castilla - La Mancha,0.259
2021-04-25T22:00:00000Z,Castilla - La Mancha,0.27
2021-04-26T22:00:00000Z,Castilla - La Mancha,0.273
2021-04-27T22:00:00000Z,Castilla - La Mancha,0.27899999999999997
2021-04-28T22:00:00000Z,Castilla - La Mancha,0.28800000000000003
2021-04-29T22:00:00000Z,Castilla - La Mancha,0.299
2021-05-02T22:00:00000Z,Castilla - La Mancha,0.309
2021-05-03T22:00:00000Z,Castilla - La Mancha,0.313
2021-05-04T22:00:00000Z,Castilla - La Mancha,0.319
2021-05-05T22:00:00000Z,Castilla - La Mancha,0.326
2021-05-06T22:00:00000Z,Castilla - La Mancha,0.336
2021-05-09T22:00:00000Z,Castilla - La Mancha,0.34600000000000003
2021-05-10T22:00:00000Z,Castilla - La Mancha,0.35
2021-05-11T22:00:00000Z,Castilla - La Mancha,0.35700000000000004
2021-05-12T22:00:00000Z,Castilla - La Mancha,0.366
2021-05-13T22:00:00000Z,Castilla - La Mancha,0.375
2021-05-16T22:00:00000Z,Castilla - La Mancha,0.39299999999999996
2021-05-17T22:00:00000Z,Castilla - La Mancha,0.397
2021-05-18T22:00:00000Z,Castilla - La Mancha,0.40299999999999997
2021-05-19T22:00:00000Z,Castilla - La Mancha,0.41200000000000003
2021-05-20T22:00:00000Z,Castilla - La Mancha,0.42100000000000004
2021-05-23T22:00:00000Z,Castilla - La Mancha,0.433
2021-05-24T22:00:00000Z,Castilla - La Mancha,0.43700000000000006
2021-05-25T22:00:00000Z,Castilla - La Mancha,0.44299999999999995
2021-05-26T22:00:00000Z,Castilla - La Mancha,0.45
2021-05-27T22:00:00000Z,Castilla - La Mancha,0.455
2021-05-30T22:00:00000Z,Castilla - La Mancha,0.474
2021-05-31T22:00:00000Z,Castilla - La Mancha,0.475
2021-06-01T22:00:00000Z,Castilla - La Mancha,0.48
2021-06-02T22:00:00000Z,Castilla - La Mancha,0.49
2021-03-30T22:00:00000Z,Cataluña,0.131
2021-03-31T22:00:00000Z,Cataluña,0.141
2021-04-02T22:00:00000Z,Cataluña,0.141
2021-04-04T22:00:00000Z,Cataluña,0.153
2021-04-05T22:00:00000Z,Cataluña,0.156
2021-04-06T22:00:00000Z,Cataluña,0.163
2021-04-07T22:00:00000Z,Cataluña,0.175
2021-04-08T22:00:00000Z,Cataluña,0.18600000000000003
2021-04-11T22:00:00000Z,Cataluña,0.195
2021-04-12T22:00:00000Z,Cataluña,0.204
2021-04-13T22:00:00000Z,Cataluña,0.21100000000000002
2021-04-14T22:00:00000Z,Cataluña,0.222
2021-04-15T22:00:00000Z,Cataluña,0.233
2021-04-18T22:00:00000Z,Cataluña,0.24100000000000002
2021-04-19T22:00:00000Z,Cataluña,0.243
2021-04-20T22:00:00000Z,Cataluña,0.247
2021-04-21T22:00:00000Z,Cataluña,0.251
2021-04-22T22:00:00000Z,Cataluña,0.257
2021-04-25T22:00:00000Z,Cataluña,0.263
2021-04-26T22:00:00000Z,Cataluña,0.267
2021-04-27T22:00:00000Z,Cataluña,0.271
2021-04-28T22:00:00000Z,Cataluña,0.275
2021-04-29T22:00:00000Z,Cataluña,0.27899999999999997
2021-05-02T22:00:00000Z,Cataluña,0.292
2021-05-03T22:00:00000Z,Cataluña,0.298
2021-05-04T22:00:00000Z,Cataluña,0.305
2021-05-05T22:00:00000Z,Cataluña,0.31
2021-05-06T22:00:00000Z,Cataluña,0.316
2021-05-09T22:00:00000Z,Cataluña,0.32899999999999996
2021-05-10T22:00:00000Z,Cataluña,0.335
2021-05-11T22:00:00000Z,Cataluña,0.34299999999999997
2021-05-12T22:00:00000Z,Cataluña,0.35100000000000003
2021-05-13T22:00:00000Z,Cataluña,0.36
2021-05-16T22:00:00000Z,Cataluña,0.374
2021-05-17T22:00:00000Z,Cataluña,0.379
2021-05-18T22:00:00000Z,Cataluña,0.387
2021-05-19T22:00:00000Z,Cataluña,0.396
2021-05-20T22:00:00000Z,Cataluña,0.405
2021-05-23T22:00:00000Z,Cataluña,0.413
2021-05-24T22:00:00000Z,Cataluña,0.414
2021-05-25T22:00:00000Z,Cataluña,0.419
2021-05-26T22:00:00000Z,Cataluña,0.425
2021-05-27T22:00:00000Z,Cataluña,0.431
2021-05-30T22:00:00000Z,Cataluña,0.436
2021-05-31T22:00:00000Z,Cataluña,0.43799999999999994
2021-06-01T22:00:00000Z,Cataluña,0.441
2021-06-02T22:00:00000Z,Cataluña,0.445
2021-03-30T22:00:00000Z,Com Valenciana,0.121
2021-03-31T22:00:00000Z,Com Valenciana,0.132
2021-04-02T22:00:00000Z,Com Valenciana,0.141
2021-04-04T22:00:00000Z,Com Valenciana,0.142
2021-04-05T22:00:00000Z,Com Valenciana,0.142
2021-04-06T22:00:00000Z,Com Valenciana,0.155
2021-04-07T22:00:00000Z,Com Valenciana,0.16699999999999998
2021-04-08T22:00:00000Z,Com Valenciana,0.17600000000000002
2021-04-11T22:00:00000Z,Com Valenciana,0.17600000000000002
2021-04-12T22:00:00000Z,Com Valenciana,0.18600000000000003
2021-04-13T22:00:00000Z,Com Valenciana,0.196
2021-04-14T22:00:00000Z,Com Valenciana,0.21
2021-04-15T22:00:00000Z,Com Valenciana,0.218
2021-04-18T22:00:00000Z,Com Valenciana,0.225
2021-04-19T22:00:00000Z,Com Valenciana,0.233
2021-04-20T22:00:00000Z,Com Valenciana,0.24
2021-04-21T22:00:00000Z,Com Valenciana,0.242
2021-04-22T22:00:00000Z,Com Valenciana,0.24600000000000002
2021-04-25T22:00:00000Z,Com Valenciana,0.251
2021-04-26T22:00:00000Z,Com Valenciana,0.261
2021-04-27T22:00:00000Z,Com Valenciana,0.273
2021-04-28T22:00:00000Z,Com Valenciana,0.27699999999999997
2021-04-29T22:00:00000Z,Com Valenciana,0.281
2021-05-02T22:00:00000Z,Com Valenciana,0.284
2021-05-03T22:00:00000Z,Com Valenciana,0.28600000000000003
2021-05-04T22:00:00000Z,Com Valenciana,0.301
2021-05-05T22:00:00000Z,Com Valenciana,0.312
2021-05-06T22:00:00000Z,Com Valenciana,0.317
2021-05-09T22:00:00000Z,Com Valenciana,0.322
2021-05-10T22:00:00000Z,Com Valenciana,0.32899999999999996
2021-05-11T22:00:00000Z,Com Valenciana,0.33799999999999997
2021-05-12T22:00:00000Z,Com Valenciana,0.349
2021-05-13T22:00:00000Z,Com Valenciana,0.354
